,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS,BEST EFF,star
381,201633,Rob Kurz,1610612744,GSW,24,40,10,30,0.25,11,1.3,3.3,0.389,0.4,1,0.395,1,1.3,0.8,0.8,1.2,2,0.5,0.4,0.4,0.5,0.3,2,1.1,3.9,-2.9,9.2,0,0,40,46,28,53,43,44,42,49,19,21,9,27,30,17,25,41,33,40,48,34,21,38,19,31,42,46,35,23,2,5,"2,016,331,610,612,740",,0
382,201173,Marcus Williams,1610612746,LAC,21,11,3,8,0.273,3.3,0.5,1.8,0.25,0,0,0,0,0,0,0.4,0.7,1.1,0.3,0,0.1,0.1,0.2,0.3,0.1,0.9,-0.1,3.2,0,0,49,52,45,47,62,56,49,60,38,48,38,59,60,59,45,50,48,45,59,54,46,45,61,60,62,22,56,20,1,5,"2,011,731,610,612,740",,0
383,2782,Matt Freije,1610612740,NOH,23,23,3,20,0.13,19,1.6,5.5,0.291,0.6,2.3,0.259,0.2,0.3,0.625,0.7,2,2.7,0.9,0.7,0.6,0.1,0.3,1.7,0,4,-3.4,9.7,1,0,46,58,34,67,16,31,17,62,7,4,30,58,59,43,28,20,25,31,30,23,45,32,33,1,31,64,32,14,2,5,"27,821,610,612,740",,0
384,2046,Desmond Mason,1610612760,SEA,23,78,41,37,0.526,19.5,2.4,5.6,0.431,0.2,0.9,0.269,0.9,1.2,0.736,0.9,2.3,3.2,0.8,0.7,0.5,0.3,0.3,1.9,0,5.9,-0.6,12.6,0,0,5,6,17,29,11,12,14,25,16,16,24,24,25,18,18,9,14,24,34,20,22,36,22,1,14,25,17,11,2,5,"20,461,610,612,760",66,0
385,2048,Jamaal Magloire,1610612766,CHH,23,74,42,32,0.568,14.8,1.6,3.7,0.45,0,0,0,1.3,2,0.655,1.4,2.6,4,0.4,0.8,0.2,1.1,0.4,1.9,0,4.6,0.7,13,0,0,11,5,23,23,26,29,30,17,33,47,33,14,13,36,10,8,8,37,26,38,4,28,20,1,27,7,16,11,2,5,"20,481,610,612,766",41,0
386,101150,Lou Williams,1610612755,PHI,19,30,14,16,0.467,4.8,0.8,1.7,0.442,0.1,0.3,0.222,0.3,0.4,0.615,0.1,0.5,0.6,0.3,0.4,0.2,0,0.3,0.4,0.3,1.9,-0.8,3.2,0,0,42,40,39,44,76,62,67,33,46,45,40,65,67,63,79,70,74,56,60,60,63,35,79,75,63,41,72,23,2,5,"1,011,501,610,612,750",36,0
387,200810,Allan Ray,1610612738,BOS,23,47,9,38,0.191,15.1,2.1,5.5,0.386,1,2.5,0.414,0.9,1.2,0.764,0.4,1.1,1.5,0.9,0.9,0.4,0.1,0.3,1.8,1,6.2,-0.3,9.9,0,0,35,50,17,72,26,17,16,49,4,6,9,29,35,23,54,41,45,21,22,26,53,32,21,33,17,29,30,23,1,5,"2,008,101,610,612,730",,0
388,2761,Jackson Vroman,1610612740,NOH,24,46,12,34,0.261,15.4,1.8,4.3,0.412,0,0.1,0,1,1.6,0.64,1.4,2.4,3.8,0.9,1.4,0.5,0.4,0.5,2.3,0,4.6,-1.4,12,2,0,27,37,20,50,27,27,25,38,40,43,40,18,18,41,12,13,13,31,14,25,16,19,18,1,27,43,27,12,2,5,"27,611,610,612,740",,0
389,200838,Kevinn Pinkney,1610612738,BOS,23,6,0,6,0,16.7,2,4.5,0.444,0.2,0.3,0.5,1,1.5,0.667,1.2,1.3,2.5,0.8,0.7,0.5,0.5,0.3,2,1.3,5.2,0.8,11.8,0,0,71,76,64,76,20,22,24,31,36,44,2,22,22,40,12,35,24,27,36,20,12,19,18,22,23,10,23,23,1,5,"2,008,381,610,612,730",,0
390,201577,Robin Lopez,1610612756,PHX,21,60,32,28,0.533,10.2,1.2,2.3,0.518,0,0,0,0.8,1.1,0.691,0.9,1.1,2,0.1,0.5,0.2,0.7,0.2,1.6,0.8,3.2,-1,7.8,0,0,29,16,30,20,46,46,48,10,34,47,34,36,33,41,22,43,36,54,46,51,12,42,31,42,45,32,43,23,2,5,"2,015,771,610,612,750",45,0
