,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS,BEST EFF,star
121,1510,Brevin Knight,1610612739,CLE,22,80,45,35,0.563,31.1,3.3,7.4,0.441,0,0.1,0,2.5,3.1,0.801,0.8,2.3,3.2,8.2,2.4,2.5,0.2,0.6,3.4,0,9,3.7,30.7,12,0,5,4,18,21,4,14,17,22,40,43,40,7,8,14,22,14,17,1,4,1,22,14,4,19,13,2,4,3,1,5,"15,101,610,612,739",49,0
122,2352,Dean Oliver,1610612744,GSW,23,20,4,16,0.2,6.9,0.9,2.3,0.37,0.1,0.7,0.154,0.3,0.5,0.667,0,0.4,0.4,1.1,0.6,0.2,0,0.1,0.8,0,2.1,-1.8,4.1,0,0,50,58,38,64,53,49,51,52,28,24,32,58,61,43,67,66,67,21,45,54,59,64,53,16,51,45,58,23,2,5,"23,521,610,612,744",,0
123,101112,Channing Frye,1610612752,NYK,23,65,19,46,0.292,24.2,4.7,9.8,0.477,0,0.1,0.333,2.9,3.5,0.825,2.1,3.6,5.8,0.8,1.5,0.5,0.7,0.5,3.1,2.6,12.3,-0.8,22.5,3,0,21,34,11,74,8,3,5,21,49,52,18,2,2,18,3,4,3,28,9,27,5,16,3,4,3,39,5,10,2,5,"1,011,121,610,612,750",78,0
124,1918,Obinna Ekezie,1610612763,VAN,24,39,10,29,0.256,9.1,1.1,2.3,0.466,0,0,0,1.1,1.6,0.672,0.9,1.5,2.4,0.2,0.7,0.2,0.1,0.3,1.6,0.3,3.2,-0.8,6.7,0,0,31,39,18,51,41,35,43,12,34,46,34,21,20,32,20,25,23,52,32,41,37,28,30,10,31,31,37,18,4,5,"19,181,610,612,763",,0
125,201944,Terrence Williams,1610612751,NJN,23,78,10,68,0.128,22.6,3.3,8.3,0.401,0.4,1.3,0.31,1.3,1.8,0.715,0.6,3.9,4.5,2.9,1.6,0.6,0.1,0.5,1.6,1.5,8.4,-3.4,18.5,8,1,10,46,1,52,14,13,9,40,25,23,29,18,20,31,30,4,9,9,7,21,35,18,24,20,17,53,14,5,1,5,"2,019,441,610,612,750",150,0
126,101207,Kevin Burleson,1610612766,CHA,27,39,12,27,0.308,8.7,0.6,2.3,0.25,0.3,1.4,0.185,0.4,0.4,0.941,0.1,0.6,0.7,1.2,0.6,0.7,0.1,0.2,1.6,0.4,1.8,-0.1,6,0,0,36,50,29,70,49,73,54,78,25,17,47,57,66,6,78,68,72,18,42,10,58,60,29,70,66,20,50,23,2,5,"1,012,071,610,612,760",,0
127,2419,Tayshaun Prince,1610612765,DET,23,42,27,15,0.643,10.4,1.3,2.8,0.449,0.5,1.1,0.426,0.3,0.4,0.647,0.1,1,1.1,0.6,0.5,0.2,0.3,0.1,0.6,0,3.3,-0.8,6.6,0,0,36,17,42,7,37,36,41,15,13,17,4,48,48,43,57,37,43,39,48,43,21,50,56,11,35,28,38,16,2,5,"24,191,610,612,765",58,0
128,1531,Marc Jackson,1610612744,GSW,26,48,12,36,0.25,29.3,4.9,10.6,0.467,0.1,0.5,0.217,3.2,4,0.802,2.5,5,7.5,1.2,1.9,0.7,0.6,1,2.9,0,13.2,-5.1,25.9,17,0,28,36,18,58,2,2,2,15,23,21,26,1,1,8,1,2,1,14,3,9,9,1,2,1,1,64,2,1,2,5,"15,311,610,612,744",112,0
129,201564,O.J. Mayo,1610612763,MEM,21,82,24,58,0.293,38.1,6.9,15.6,0.438,1.8,4.6,0.384,3,3.4,0.879,0.7,3.1,3.8,3.2,2.8,1.1,0.2,0.9,2.5,2.7,18.5,-5.1,28.8,2,0,1,23,4,47,1,2,1,35,2,2,11,5,7,5,28,13,16,5,2,3,38,7,9,8,1,61,4,14,2,5,"2,015,641,610,612,760",70,0
130,1504,Danny Fortson,1610612743,DEN,22,80,11,69,0.138,22.7,3.5,7.6,0.452,0,0,0.333,3.3,4.2,0.776,2.3,3.3,5.6,1,2,0.6,0.4,1.3,3.9,0.1,10.2,-5.1,19.2,7,0,5,36,1,58,15,13,13,14,38,48,12,4,4,18,5,5,5,25,9,23,16,2,1,2,10,58,13,5,1,5,"15,041,610,612,743",31,0
131,200747,Adam Morrison,1610612766,CHA,22,78,30,48,0.385,29.8,4.6,12.1,0.376,1.1,3.3,0.337,1.5,2.2,0.71,0.7,2.3,2.9,2.1,1.7,0.4,0.1,0.5,2.3,1.9,11.8,-3.1,18.1,0,0,6,15,6,43,2,2,2,55,2,2,24,10,13,34,27,15,17,7,6,35,50,12,11,12,2,74,9,23,1,5,"2,007,471,610,612,760",172,0
132,2742,Sebastian Telfair,1610612757,POR,20,68,19,49,0.279,19.6,2.5,6.3,0.393,0.3,1,0.246,1.5,2,0.789,0.1,1.4,1.5,3.3,1.8,0.5,0.1,0.4,1.8,0,6.8,-2.8,13.4,3,0,20,24,7,49,15,16,13,45,23,21,34,10,16,10,59,34,39,3,5,28,48,22,32,1,14,58,21,8,2,5,"27,421,610,612,757",154,0
133,2221,Raul Lopez,1610612762,UTA,24,82,42,40,0.512,19.8,2.7,6.3,0.431,0.3,1,0.294,1.2,1.4,0.863,0.3,1.6,1.9,3.7,2.1,0.8,0,0.3,2.4,0,7,-0.5,15,1,0,1,4,13,23,14,12,12,23,18,18,27,11,18,6,49,28,35,5,6,16,54,33,11,5,12,30,15,14,2,5,"22,211,610,612,762",163,0
134,1506,Austin Croshere,1610612754,IND,23,26,21,5,0.808,9.4,1.2,3.3,0.372,0.2,0.5,0.308,0.3,0.5,0.571,0.4,1.3,1.7,0.3,0.5,0.3,0.2,0.3,1.2,0,2.9,-0.4,6.6,0,0,45,19,54,4,38,35,32,45,23,23,24,52,51,49,40,25,31,45,47,38,30,41,38,19,41,22,36,18,1,5,"15,061,610,612,754",99,0
135,2668,Josh Davis,1610612737,ATL,23,4,2,2,0.5,5.6,0.5,1.3,0.4,0,0.5,0,0.3,0.3,1,0.3,1,1.3,0,0.5,0,0,0,0.8,0,1.3,-1.8,2.3,0,0,60,58,61,24,57,57,62,39,41,33,41,58,62,1,51,42,47,62,52,59,55,61,56,5,60,49,61,24,2,5,"26,681,610,612,737",,0
136,2203,Shane Battier,1610612763,MEM,23,78,23,55,0.295,39.7,5.3,12.3,0.429,1.3,3.5,0.373,2.5,3.6,0.7,2.3,3.1,5.4,2.8,2,1.6,1,0.9,2.8,0.1,14.4,-3.7,30.8,3,0,7,20,5,52,1,3,3,27,1,2,6,4,3,38,2,5,3,7,5,2,7,2,5,3,2,65,2,6,2,5,"22,031,610,612,763",70,0
137,1526,James Cotton,1610612760,SEA,22,9,7,2,0.778,3.8,0.9,2.3,0.381,0,0.4,0,0.9,1,0.889,0.2,0.4,0.7,0,0.7,0.1,0.1,0.1,0.3,0,2.7,-3.4,3.5,0,0,54,44,59,6,57,45,43,42,40,26,40,35,39,3,53,53,55,61,39,60,43,55,62,19,44,53,56,18,1,5,"15,261,610,612,760",,0
138,1749,Cuttino Mobley,1610612745,HOU,23,49,31,18,0.633,29.7,3.5,8.3,0.425,1.1,3,0.358,1.8,2.2,0.818,0.4,1.8,2.3,2.5,1.6,0.9,0.5,0.5,2,0,9.9,2,18.9,0,0,9,3,22,11,7,11,10,31,5,5,13,12,14,10,41,22,25,4,7,7,15,11,16,12,8,8,9,16,1,5,"17,491,610,612,745",52,0
139,101158,Orien Greene,1610612738,BOS,24,80,31,49,0.388,15.4,1.3,3.2,0.395,0.1,0.5,0.225,0.6,0.9,0.662,0.5,1.4,1.8,1.6,1.4,1,0.1,0.2,2.3,0.7,3.2,-1.3,9.7,0,0,3,13,8,56,27,40,38,60,39,38,39,46,44,52,40,36,41,12,12,4,39,56,15,44,40,56,31,23,2,5,"1,011,581,610,612,730",176,0
140,2554,Mickael Pietrus,1610612744,GSW,22,53,24,29,0.453,14.2,1.8,4.4,0.416,0.7,2,0.333,1,1.4,0.693,0.9,1.3,2.2,0.5,0.8,0.6,0.2,0.2,1.9,0,5.3,1.4,10.5,0,0,28,24,24,29,26,26,24,31,8,8,14,22,19,39,24,36,30,41,34,21,25,45,21,5,20,10,29,24,2,5,"25,541,610,612,744",117,0
141,101212,Esteban Batista,1610612737,ATL,22,57,14,43,0.246,8.7,0.6,1.4,0.425,0,0,0,0.6,0.9,0.623,1.1,1.5,2.5,0.1,0.7,0.3,0.2,0.3,1.9,0.9,1.8,-0.1,5.7,1,0,29,40,14,79,50,72,71,38,53,60,53,45,42,61,13,32,19,74,37,48,33,31,21,33,68,23,53,15,2,5,"1,012,121,610,612,730",,0
142,2407,Jared Jeffries,1610612764,WAS,21,20,7,13,0.35,14.5,1.5,3.2,0.476,0.2,0.3,0.5,0.8,1.5,0.552,1.3,1.6,2.9,0.8,1.1,0.4,0.3,0.2,1.4,0,4,2.1,9.5,0,0,47,50,46,38,27,29,36,10,30,38,1,27,20,50,10,25,16,30,17,24,24,42,30,11,28,4,26,16,2,5,"24,071,610,612,764",124,0
143,2244,Jeff Trepagnier,1610612739,CLE,22,12,2,10,0.167,6.3,0.6,1.9,0.304,0,0.1,0,0.3,0.6,0.571,0.3,0.8,1,1,0.9,0.7,0.3,0.2,0.7,0,1.5,1.2,6.3,0,0,58,63,47,65,54,58,56,63,34,39,34,56,52,56,59,54,54,22,24,14,28,50,57,16,58,8,46,23,2,5,"22,441,610,612,739",,0
144,2073,Brian Cardinal,1610612765,DET,24,15,5,10,0.333,8.3,0.7,2.1,0.323,0,0.3,0,0.7,1.2,0.611,0.5,1,1.5,0.2,0.6,0.5,0.1,0.2,1.8,0,2.1,-2.3,5.4,0,0,49,49,47,45,43,49,48,52,33,25,33,32,24,41,36,41,40,52,42,22,37,46,25,1,47,48,46,11,2,5,"20,731,610,612,765",108,0
145,1723,Matt Harpring,1610612753,ORL,23,50,33,17,0.66,22.3,3,6.4,0.463,0.2,0.5,0.4,2,2.9,0.713,1.8,2.5,4.3,0.9,1.5,0.6,0.1,0.6,2.2,0,8.2,-0.1,15.3,1,0,1,1,25,8,12,13,15,17,20,22,8,9,8,26,6,8,6,23,10,16,34,10,13,4,15,21,16,12,1,5,"17,231,610,612,753",36,0
146,2306,Carlos Arroyo,1610612743,DEN,22,37,17,20,0.459,10,1.3,3,0.441,0,0.1,0,0.4,0.5,0.722,0.3,0.8,1.1,1.9,0.6,0.3,0,0.4,0.8,0,3,-0.9,7.5,0,0,34,34,33,34,40,36,38,23,34,45,34,55,58,31,51,53,52,12,40,41,58,29,52,16,42,34,38,23,2,5,"23,061,610,612,743",101,0
147,1562,Gerard King,1610612759,SAS,26,19,12,7,0.632,3.2,0.3,0.7,0.429,0,0,0,0.6,0.9,0.611,0.3,0.4,0.7,0.2,0.2,0.1,0.1,0.1,0.6,0.1,1.2,0.2,2.7,0,0,42,25,47,12,57,60,63,30,37,46,37,43,41,37,47,55,54,47,61,53,41,54,58,2,59,19,57,16,1,5,"15,621,610,612,759",,0
148,101198,Will Bynum,1610612744,GSW,23,15,7,8,0.467,10.8,1.4,3.5,0.404,0.1,0.6,0.222,0.7,1.1,0.625,0.2,0.6,0.8,1.3,0.9,0.5,0,0.5,0.7,0.8,3.6,-3.7,6.9,0,0,68,64,63,44,37,34,29,50,35,37,40,40,39,59,70,67,69,16,25,25,63,17,69,41,35,77,40,23,2,5,"1,011,981,610,612,740",,0
149,201568,Danilo Gallinari,1610612752,NYK,20,28,14,14,0.5,14.7,2,4.5,0.448,1.1,2.6,0.444,0.9,1,0.963,0.5,1.5,2,0.5,0.5,0.5,0.1,0.2,1.7,1.3,6.1,1.8,10.6,0,0,45,39,42,25,28,29,31,31,7,10,3,33,40,3,37,34,37,38,43,26,41,47,28,26,24,8,32,23,2,5,"2,015,681,610,612,750",50,0
150,201148,Brandan Wright,1610612744,GSW,20,38,22,16,0.579,9.9,1.6,2.9,0.554,0,0,0,0.7,1.1,0.675,1,1.6,2.6,0.2,0.3,0.2,0.6,0.3,0.9,0.8,4,-0.8,9.3,0,0,31,25,33,19,39,31,40,5,38,48,38,32,29,29,23,30,29,49,47,49,12,32,41,34,33,31,31,20,1,5,"2,011,481,610,612,740",115,0
151,2741,Robert Swift,1610612760,SEA,19,16,10,6,0.625,4.4,0.3,0.7,0.455,0,0,0,0.3,0.6,0.556,0.1,0.3,0.3,0.1,0.3,0.1,0.4,0,1,0,0.9,-2.1,2.8,0,0,51,43,56,12,57,63,66,22,40,54,40,55,52,53,61,62,64,58,60,58,13,59,49,1,63,51,60,23,2,5,"27,411,610,612,760",,0
152,1527,Marko Milic,1610612756,PHX,22,11,8,3,0.727,4.8,0.7,1.8,0.4,0,0.1,0,0,0,0,0.3,0.2,0.5,0.2,0.5,0.3,0.1,0.2,0.6,0,1.5,-1.7,2.8,0,0,48,34,49,7,51,51,50,37,37,41,37,57,57,57,50,59,57,49,43,36,38,51,56,12,56,44,55,16,1,5,"15,271,610,612,756",,0
153,201180,Sun Sun,1610612747,LAL,23,10,9,1,0.9,2.8,0.3,1.1,0.273,0,0.6,0,0,0,0,0,0,0,0.2,0.3,0.1,0.1,0,1,0,0.6,-4.7,1.2,0,0,52,48,58,2,57,60,58,60,34,28,34,55,57,55,58,62,62,51,52,54,43,58,49,57,61,60,60,23,2,5,"2,011,801,610,612,740",,0
154,1521,Jacque Vaughn,1610612762,UTA,23,45,35,10,0.778,9.3,1,2.7,0.361,0.1,0.2,0.375,1.1,1.5,0.706,0.1,0.8,0.8,1.9,1.2,0.2,0,0.3,1.4,0,3.1,0.7,6.3,0,0,27,7,46,6,39,42,41,48,30,34,7,28,29,31,61,42,50,13,21,56,57,42,31,19,37,12,38,18,1,5,"15,211,610,612,762",140,0
155,2421,Frank Williams,1610612752,NYK,23,21,6,15,0.286,8,0.4,1.6,0.273,0.3,0.8,0.375,0.2,0.3,0.667,0.1,0.7,0.9,1.6,0.8,0.3,0.1,0,1,0,1.3,-3.9,5.3,0,0,46,52,42,47,45,59,57,57,20,23,7,52,53,40,56,45,51,15,30,32,41,60,45,11,58,59,45,16,2,5,"24,211,610,612,752",,0
157,1983,Jermaine Jackson,1610612765,DET,24,7,6,1,0.857,10.3,0.1,1.6,0.091,0,0.1,0,0.7,1.1,0.625,0.1,1.4,1.6,0.6,1,0.4,0,0.1,1,0.6,1,0.6,4,0,0,54,45,56,4,36,59,55,59,34,36,34,30,31,41,54,26,37,36,20,25,50,49,43,3,57,12,54,18,4,5,"19,831,610,612,765",,0
159,2201,Eddy Curry,1610612741,CHI,19,72,20,52,0.278,16,2.6,5.2,0.501,0,0,0,1.5,2.2,0.656,1.5,2.2,3.8,0.3,1,0.2,0.7,0.8,2.4,0,6.7,-3.6,13.7,4,0,14,28,6,55,22,14,18,8,34,51,34,16,12,47,11,20,13,49,21,49,11,4,13,16,15,64,19,5,2,5,"22,011,610,612,741",63,0
160,201159,Javaris Crittenton,1610612763,MEM,20,50,25,25,0.5,13.6,2,4.7,0.421,0.2,0.7,0.27,1.4,2.1,0.692,0.5,1.7,2.2,1,1.1,0.4,0,0.4,0.9,1.5,5.6,-0.8,9.9,0,0,29,19,26,23,28,25,23,35,20,21,22,15,14,26,38,27,33,20,15,29,48,20,43,17,23,32,29,20,1,5,"2,011,591,610,612,760",,0
161,101137,Daniel Ewing,1610612746,LAC,23,66,39,27,0.591,14.7,1.5,3.9,0.38,0.3,1.2,0.282,0.5,0.7,0.783,0.3,0.9,1.3,1.3,0.9,0.6,0.1,0.1,1.3,0.6,3.8,-0.9,8.4,0,0,20,4,29,21,29,33,28,67,23,21,30,47,51,26,55,55,56,15,29,20,47,66,46,51,33,44,33,23,2,5,"1,011,371,610,612,740",,0
162,101113,Ike Diogu,1610612744,GSW,22,69,26,43,0.377,14.9,2.5,4.8,0.524,0,0,0,2,2.4,0.81,1.4,1.9,3.3,0.4,1.1,0.2,0.4,0.6,2.4,1.9,7,-1.1,12.5,3,0,15,17,14,58,28,17,25,11,53,61,53,8,8,20,11,19,14,48,20,51,10,10,12,9,17,48,22,10,2,5,"1,011,131,610,612,740",,0
163,201967,Dante Cunningham,1610612757,POR,23,63,37,26,0.587,11.2,1.7,3.4,0.495,0,0,0,0.5,0.8,0.646,0.9,1.7,2.5,0.2,0.2,0.4,0.3,0.1,1.5,0.7,3.9,0.7,9.2,1,0,27,12,32,20,38,33,35,12,42,46,42,45,42,40,17,27,23,47,54,30,12,46,26,40,36,9,34,15,5,5,"2,019,671,610,612,750",125,0
165,201858,Cartier Martin,1610612766,CHA,24,33,15,18,0.455,8,0.8,2.3,0.364,0.3,1,0.303,0.6,0.8,0.8,0.2,0.8,1,0.4,0.3,0.2,0.1,0.2,1,0.7,2.6,0.7,5.2,0,0,42,37,40,29,49,49,46,53,22,18,23,43,46,17,52,49,50,45,54,45,42,52,49,45,48,11,49,23,2,5,"2,018,581,610,612,760",247,0
166,201934,Hasheem Thabeet,1610612763,MEM,23,68,32,36,0.471,13,1.1,1.9,0.588,0,0,0,0.8,1.4,0.581,1.3,2.3,3.6,0.2,0.6,0.2,1.3,0.2,2.4,1.3,3.1,-1.1,11.5,0,0,24,20,19,27,32,41,51,3,42,49,42,33,24,48,9,15,14,48,36,46,2,37,9,24,40,34,29,22,5,5,"2,019,341,610,612,760",,0
167,201966,Jermaine Taylor,1610612745,HOU,23,31,13,18,0.419,9.8,1.5,3.8,0.378,0.2,0.7,0.227,1.1,1.5,0.717,0.7,0.8,1.5,0.5,0.6,0.3,0.1,0.6,0.5,1,4.1,-3.8,7.3,1,0,41,41,37,33,42,36,32,47,33,30,37,22,21,30,23,44,38,36,37,36,40,11,52,30,34,54,40,15,5,5,"2,019,661,610,612,740",,0
168,2751,Viktor Khryapa,1610612757,POR,22,32,6,26,0.188,16.5,1.7,3.9,0.435,0.1,0.3,0.364,0.7,1.3,0.548,0.9,2.5,3.4,0.8,1,0.6,0.6,0.3,2.5,0,4.2,-3.9,12,0,0,36,49,26,59,22,30,31,27,28,32,12,33,27,54,23,12,15,34,18,21,11,37,14,1,29,65,26,23,2,5,"27,511,610,612,757",,0
169,1505,Tariq Abdul-Wahad,1610612758,SAC,23,59,17,42,0.288,16.3,2.4,6.1,0.403,0.1,0.3,0.211,1.4,2.1,0.672,0.7,1.2,2,0.9,1.1,0.6,0.2,0.3,1.4,0,6.4,-2.2,11.4,0,0,20,23,15,46,24,20,20,34,29,32,34,18,17,38,26,27,26,30,24,21,25,36,32,10,21,46,27,18,1,5,"15,051,610,612,758",146,0
170,2429,Dan Gadzuric,1610612749,MIL,25,49,21,28,0.429,15.5,1.4,3,0.483,0,0,0,0.6,1.1,0.518,1.3,2.7,4,0.2,0.6,0.4,1.1,0.1,2.6,0,3.4,-0.9,12.5,1,0,31,27,28,31,23,31,39,9,44,50,44,37,26,52,9,9,9,59,42,23,2,54,8,11,33,34,20,10,2,5,"24,291,610,612,749",87,0
172,200793,Dee Brown,1610612762,UTA,22,49,29,20,0.592,9.2,0.7,2,0.327,0.1,0.6,0.214,0.5,0.8,0.649,0.2,0.7,0.8,1.7,0.6,0.4,0.1,0.1,1,0.6,1.9,0.4,6.6,0,0,32,17,45,15,47,58,54,66,40,35,42,48,50,46,67,59,67,10,39,25,36,70,52,57,57,15,47,23,1,5,"2,007,931,610,612,760",,0
173,201569,Eric Gordon,1610612746,LAC,20,78,19,59,0.244,34.3,5.3,11.6,0.456,1.7,4.3,0.389,3.8,4.5,0.854,0.6,2,2.6,2.8,2.1,1,0.4,0.8,2.2,3.9,16.1,-5.9,25.5,0,0,13,32,2,54,3,6,5,29,3,3,10,2,3,8,33,22,27,6,4,5,24,10,16,2,3,62,6,23,2,5,"2,015,691,610,612,740",44,0
174,201582,Alexis Ajinca,1610612766,CHA,21,31,11,20,0.355,5.9,0.8,2.2,0.362,0,0.1,0,0.6,0.9,0.714,0.3,0.7,1,0.1,0.4,0.2,0.2,0.2,1.1,0.6,2.3,0.2,4.4,0,0,43,43,38,40,52,51,49,55,34,40,34,40,41,33,47,51,52,55,49,46,33,51,46,47,51,16,54,23,2,5,"2,015,821,610,612,760",172,0
175,1075,Michael McDonald,1610612766,CHH,29,1,1,0,1,4.3,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,-6,-0.8,0,0,64,62,63,1,56,63,64,63,40,53,40,59,59,59,19,64,46,61,8,62,58,62,43,19,63,60,64,18,1,5,"10,751,610,612,766",,0
176,2452,J.R. Bremer,1610612738,BOS,22,64,32,32,0.5,23.5,2.7,7.3,0.369,1.6,4.5,0.353,1.3,1.7,0.766,0.3,2,2.3,2.6,0.9,0.6,0,0.4,1.3,0,8.3,-1.2,15.8,0,0,21,11,23,23,11,13,12,42,1,1,10,14,16,18,45,18,25,6,23,16,53,25,35,6,10,39,13,16,2,5,"24,521,610,612,738",,0
177,201975,Jodie Meeks,1610612755,PHI,22,60,23,37,0.383,12,1.7,4.5,0.388,0.7,2.2,0.318,0.5,0.7,0.795,0.2,1.5,1.7,0.7,0.4,0.3,0.1,0.2,0.9,0.6,4.7,-0.2,8.4,0,0,28,27,16,37,36,32,29,45,16,11,26,43,47,17,52,31,35,31,44,38,43,38,43,45,32,21,37,22,5,5,"2,019,751,610,612,750",95,0
178,1761,Greg Buckner,1610612742,DAL,23,48,30,18,0.625,19.2,2.3,4.9,0.476,0.2,0.5,0.385,0.9,1.3,0.683,1.2,2.5,3.6,1.1,0.8,0.8,0.4,0.3,3.1,0.6,5.7,0.3,14.7,1,0,26,17,32,18,18,19,23,10,22,27,3,27,27,28,16,10,11,23,28,14,10,34,3,2,21,16,17,14,4,5,"17,611,610,612,742",133,0
179,101178,Arvydas Macijauskas,1610612740,NOK,26,19,5,14,0.263,7.1,0.7,2.2,0.341,0.2,0.6,0.25,0.7,0.8,0.867,0.2,0.4,0.5,0.3,0.4,0.4,0,0.2,0.5,0.6,2.3,-0.4,4,0,0,60,72,45,77,60,65,57,72,33,34,34,39,48,12,76,75,76,62,62,33,63,47,73,50,51,29,67,23,2,5,"1,011,781,610,612,740",,0
181,2208,Kedrick Brown,1610612738,BOS,21,29,17,12,0.586,8.5,0.8,2.4,0.329,0.2,0.9,0.185,0.4,0.7,0.6,0.4,1.3,1.7,0.5,0.2,0.6,0.2,0.1,0.6,0,2.2,-0.2,7.4,0,0,40,34,42,13,44,51,47,61,20,16,31,50,48,53,48,34,41,41,60,15,34,59,60,16,49,19,39,23,2,5,"22,081,610,612,738",,0
182,2370,Mengke Bateer,1610612743,DEN,26,27,9,18,0.333,15.1,2,4.9,0.402,0.1,0.4,0.333,1.1,1.4,0.784,1.2,2.4,3.6,0.8,1.2,0.4,0.2,0.5,3.5,0,5.1,-2,11.1,0,0,43,47,36,45,27,24,22,39,23,29,10,22,24,12,15,15,17,27,13,31,38,15,1,16,24,47,27,23,2,5,"23,701,610,612,743",,0
183,2768,Chris Duhon,1610612741,CHI,22,82,47,35,0.573,26.5,2.1,6,0.352,1.1,3.2,0.355,0.6,0.8,0.731,0.3,2.3,2.6,4.9,1.5,1,0,0.3,2.5,0,5.9,1.4,18,2,0,1,4,15,21,8,22,14,54,2,3,14,40,43,25,50,15,27,2,12,5,54,38,14,1,19,8,10,12,2,5,"27,681,610,612,741",89,0
184,101127,Jarrett Jack,1610612757,POR,22,79,20,59,0.253,20.2,2.4,5.4,0.442,0.3,1,0.263,1.6,2,0.8,0.2,1.8,2,2.8,1.3,0.5,0,0.3,1.7,1.6,6.7,-4.7,13.6,0,0,8,31,1,78,15,19,19,34,26,27,33,11,11,22,66,20,34,7,15,23,60,39,26,14,21,80,17,23,2,5,"1,011,271,610,612,750",78,0
185,200757,Thabo Sefolosha,1610612741,CHI,23,71,42,29,0.592,12.2,1.5,3.6,0.426,0.2,0.6,0.357,0.3,0.6,0.511,0.5,1.7,2.2,0.8,0.8,0.5,0.2,0.2,1.4,0.5,3.6,1.2,8.5,1,0,11,3,29,16,35,36,32,37,33,34,19,62,56,65,46,24,29,26,24,24,34,52,35,58,40,8,38,14,1,5,"2,007,571,610,612,740",122,0
186,2420,Nenad Krstic,1610612751,NJN,21,75,40,35,0.533,26.2,3.7,7.6,0.493,0,0,0,2.5,3.4,0.725,2.1,3.2,5.3,1,1.5,0.4,0.8,1,3.7,0,10,1,20.2,9,0,16,9,15,27,9,7,9,13,40,50,40,4,3,26,4,8,6,23,10,35,5,2,1,1,7,12,9,5,2,5,"24,201,610,612,751",72,0
188,1541,Alvin Williams,1610612761,TOR,23,54,24,30,0.444,19.8,2.3,5.2,0.443,0.2,0.5,0.321,1.2,1.7,0.722,0.4,1.1,1.5,1.9,1.1,0.7,0.1,0.3,1.5,0,6,-0.1,11.9,0,0,24,15,25,32,19,22,25,21,22,22,19,22,24,25,37,36,34,11,26,15,51,34,26,19,22,18,25,18,1,5,"15,411,610,612,761",76,0
189,1003,Drew Barry,1610612737,ATL,25,27,16,11,0.593,9.5,0.7,1.4,0.474,0.3,0.8,0.429,0.4,0.5,0.846,0.2,1.1,1.3,1.8,1.1,0.4,0,0.1,1,0,2.1,2.5,6.5,0,0,43,27,42,16,36,50,56,11,13,17,4,47,53,7,56,33,38,15,23,32,54,58,41,19,49,4,37,18,1,5,"10,031,610,612,737",,0
190,101249,John Lucas III,1610612745,HOU,23,13,4,9,0.308,8.2,1.1,2.8,0.389,0.2,0.7,0.222,0,0,0,0.2,0.2,0.4,0.9,0.5,0.4,0,0.2,0.5,0.1,2.3,-0.5,4.8,0,0,71,74,58,70,55,45,42,63,34,31,40,77,78,77,77,79,80,25,51,32,63,60,77,81,52,33,61,23,2,5,"1,012,491,610,612,740",,0
191,1892,Trajan Langdon,1610612739,CLE,24,10,5,5,0.5,14.4,1.5,4,0.375,0.8,1.9,0.421,1.1,1.1,1,0.4,1.1,1.5,1.1,0.6,0.5,0,0.3,1.6,0.2,4.9,6,9.3,0,0,51,49,47,26,23,28,27,38,5,10,2,22,32,1,45,37,42,24,35,21,50,29,29,18,24,1,26,18,4,5,"18,921,610,612,739",,0
192,2402,Dajuan Wagner,1610612739,CLE,20,47,8,39,0.17,29.5,4.7,12.9,0.369,1.2,3.7,0.316,2.7,3.4,0.8,0.4,1.3,1.7,2.8,1.8,0.8,0.1,1.3,2.3,0,13.4,-5.6,20.7,1,0,33,46,16,59,3,5,2,41,2,2,23,4,5,12,32,32,32,4,10,8,34,1,15,11,4,63,8,10,2,5,"24,021,610,612,739",,0
193,202066,Garrett Temple,1610612759,SAS,24,27,12,15,0.444,12.4,1.6,3.7,0.436,0.5,1.4,0.351,1.3,1.9,0.7,0.2,0.9,1.1,0.8,1,0.5,0.2,0.1,1.6,1.6,5,-0.1,8.7,0,0,43,43,41,32,35,34,33,32,22,22,22,19,19,34,47,40,44,27,20,25,22,51,25,18,30,19,36,22,5,5,"2,020,661,610,612,750",167,0
